MQ4,MQ3,MQ7,MQ135,MQ136,Temp,Hum,PM,Label
315,243,451,268,433,21.5,35.6,643,0
318,251,454,231,422,21.5,35.6,679,0
316,231,449,222,426,21.6,35.5,307,0
322,256,456,232,435,21.6,35.5,713,0
321,224,451,212,430,21.5,35.5,765,0
318,239,450,231,430,21.5,35.6,739,0
314,241,444,232,437,21.5,35.6,643,0
318,241,447,274,430,21.6,35.5,683,0
325,250,488,234,432,21.5,35.6,662,0
329,242,500,240,430,21.6,35.4,692,0
321,228,452,215,433,21.5,35.6,673,0
328,216,450,220,436,21.5,35.5,634,0
321,241,462,227,428,21.5,35.5,785,0
316,257,451,230,426,21.7,35.6,1069,0
316,248,449,239,439,21.5,35.5,584,0
320,237,456,229,434,21.5,35.5,163,0
321,254,447,233,432,21.5,35.6,709,0
318,250,456,239,431,21.5,35.6,605,0
323,243,522,226,426,21.5,35.6,673,0
320,240,445,227,425,21.6,35.5,637,0
314,243,450,225,433,21.5,35.7,782,0
338,241,451,229,438,21.5,35.6,678,0
286,245,452,230,426,21.5,35.4,654,0
311,241,438,226,427,21.5,35.5,709,0
315,242,430,236,436,21.5,35.6,695,0
319,242,447,274,429,21.4,35.7,639,0
318,241,442,235,435,21.5,35.7,695,0
320,240,449,229,434,21.5,35.5,713,0
320,247,455,227,428,21.6,35.5,663,0
315,238,449,229,429,21.5,35.6,621,0
320,242,458,260,435,21.5,35.6,653,0
312,240,456,233,431,21.5,35.7,686,0
314,240,450,232,430,21.5,35.6,691,0
320,213,450,213,430,21.5,35.9,706,0
313,241,444,236,433,21.5,35.9,619,0
314,272,451,228,412,21.6,35.8,699,0
315,249,454,228,434,21.6,35.6,693,0
320,249,437,242,423,21.5,35.6,632,0
326,249,493,234,434,21.5,35.4,699,0
323,247,467,230,432,21.5,35.7,673,0
306,244,434,230,426,21.6,35.5,753,0
317,242,445,229,430,21.5,35.7,635,0
322,251,447,237,434,21.6,35.3,679,0
314,250,493,234,427,21.5,35.7,699,0
320,251,454,246,431,21.5,35.7,617,0
289,196,434,230,433,21.5,35.4,630,0
314,248,446,227,431,21.5,35.9,669,0
321,249,442,227,433,21.6,35.6,681,0
320,242,458,233,434,21.5,35.6,661,0
320,250,452,250,431,21.6,35.5,759,0
320,262,457,231,428,21.5,35.7,699,0
318,232,448,218,426,21.6,35.6,693,0
320,250,452,226,424,21.5,35.7,668,0
321,234,450,221,435,21.5,35.6,680,0
319,235,449,215,429,21.5,35.6,617,0
325,249,474,231,426,21.5,35.7,701,0
318,250,491,236,428,21.5,35.7,641,0
316,245,442,230,428,21.5,35.6,630,0
294,246,440,237,438,21.5,35.6,736,0
313,259,437,232,430,21.4,35.6,633,0
303,242,431,230,432,21.6,35.5,643,0
332,247,443,236,437,21.5,35.4,625,0
320,256,446,235,436,21.5,35.7,673,0
306,240,440,230,426,21.6,35.6,695,0
310,251,452,229,428,21.6,35.5,670,0
322,243,452,230,424,21.5,35.6,705,0
321,235,456,234,434,21.6,35.8,751,0
317,250,451,248,434,21.5,35.6,647,0
321,250,457,226,432,21.5,35.6,633,0
324,250,454,233,425,21.5,35.7,636,0
325,245,500,229,435,21.5,35.7,659,0
320,246,456,226,433,21.5,35.7,697,0
314,243,450,274,432,21.5,35.9,647,0
322,253,456,246,435,21.6,35.6,555,0
320,232,451,222,429,21.5,35.7,783,0
322,251,454,232,428,21.5,35.9,646,0
324,241,491,235,430,21.5,35.9,674,0
322,252,460,233,427,21.6,35.6,697,0
323,228,447,215,434,21.4,35.7,667,0
321,245,456,234,427,21.5,35.6,615,0
318,244,444,233,428,21.6,35.5,625,0
322,246,450,222,435,21.5,35.7,680,0
309,253,443,251,430,21.5,35.6,661,0
321,237,452,223,440,21.5,35.6,720,0
318,247,460,236,428,21.5,35.6,666,0
322,256,434,240,423,21.5,35.9,551,0
321,257,454,228,434,21.5,35.7,717,0
291,248,439,236,423,21.5,35.7,802,0
324,235,446,220,434,21.4,35.6,676,0
310,243,445,230,419,21.5,35.6,739,0
320,246,458,232,434,21.4,35.7,675,0
322,247,453,266,433,21.6,35.5,631,0
324,244,474,236,433,21.5,35.9,654,0
309,250,445,234,432,21.5,35.7,587,0
320,213,450,205,430,21.5,35.7,587,0
335,245,450,245,432,21.5,35.7,675,0
324,231,441,223,430,21.5,35.9,731,0
315,240,456,260,426,21.5,35.8,697,0
322,249,454,234,428,21.5,35.7,687,0
317,230,449,219,428,21.5,35.7,662,0
319,264,450,225,425,21.5,35.9,667,0
324,236,450,207,430,21.5,35.7,619,0
308,243,437,232,443,21.5,35.9,667,0
315,249,456,260,432,21.4,35.7,623,0
320,234,452,222,428,21.5,35.7,564,0
320,243,458,232,428,21.5,35.7,633,0
320,249,452,236,434,21.5,35.6,594,0
306,243,434,229,432,21.5,35.7,696,0
321,238,453,222,432,21.5,35.7,697,0
311,251,453,219,435,21.5,35.9,680,0
316,240,444,236,434,21.5,35.7,751,0
315,240,449,227,463,21.5,35.7,631,0
311,253,450,222,440,21.5,35.7,667,0
320,240,485,235,419,21.5,35.9,687,0
320,242,490,227,434,21.5,35.6,640,0
320,241,456,231,426,21.5,35.7,613,0
318,285,451,217,434,21.5,35.7,681,0
320,242,450,240,429,21.5,35.7,692,0
305,240,440,232,431,21.4,35.7,614,0
320,246,453,230,422,21.5,35.9,709,0
320,241,447,276,421,21.5,35.7,523,0
306,241,439,228,432,21.5,35.7,711,0
314,248,448,231,433,21.6,35.6,629,0
318,217,455,214,434,21.5,35.6,691,0
323,226,452,218,438,21.5,35.7,618,0
321,236,449,229,411,21.5,35.7,651,0
325,247,478,222,409,21.5,35.4,646,0
323,249,465,231,416,21.5,35.7,711,0
316,242,459,231,427,21.5,35.4,710,0
310,238,430,229,432,21.6,35.6,719,0
317,249,448,228,443,21.5,35.6,637,0
307,238,430,230,432,21.5,35.7,711,0
316,240,440,231,434,21.5,35.7,745,0
319,239,451,288,434,21.5,35.6,547,0
325,247,448,232,425,21.5,35.6,657,0
317,240,456,230,427,21.5,35.6,591,0
321,233,451,222,431,21.6,35.6,685,0
307,251,437,233,433,21.5,35.7,743,0
324,257,450,239,437,21.5,35.7,691,0
302,240,438,231,431,21.5,35.9,706,0
315,250,470,234,428,21.5,35.9,717,0
315,247,454,236,432,21.6,35.5,721,0
320,248,485,233,431,21.5,35.9,685,0
321,250,457,223,433,21.6,35.6,653,0
320,252,454,236,420,21.5,35.6,590,0
315,241,450,215,424,21.5,35.6,676,0
322,250,458,231,430,21.5,35.6,801,0
322,238,454,223,436,21.5,35.6,716,0
324,240,456,228,426,21.5,35.6,623,0
315,239,496,231,428,21.5,35.6,620,0
310,240,450,245,430,21.6,35.5,481,0
319,228,450,216,431,21.5,35.6,763,0
318,248,452,243,439,21.5,35.7,729,0
321,238,451,226,423,21.5,35.6,624,0
323,246,456,230,423,21.5,35.9,587,0
313,214,452,224,427,21.5,35.6,445,0
325,243,438,229,426,21.5,35.7,444,0
305,240,448,233,438,21.4,35.7,604,0
314,239,450,232,424,21.5,35.9,577,0
297,243,436,232,429,21.6,35.5,641,0
315,236,447,226,431,21.5,35.6,671,0
320,241,462,230,430,21.5,35.6,967,0
320,243,452,228,414,21.5,35.7,713,0
323,241,450,222,418,21.5,35.9,667,0
320,240,450,231,420,21.5,35.6,660,0
315,241,452,231,417,21.5,35.8,617,0
317,248,445,232,430,21.6,35.6,634,0
324,240,461,230,424,21.5,35.7,615,0
320,241,452,264,430,21.5,35.6,619,0
322,246,452,236,430,21.5,35.7,707,0
313,247,449,233,434,21.4,35.8,794,0
251,242,433,232,427,21.5,35.7,682,0
320,245,452,231,424,21.5,35.7,663,0
321,241,453,231,440,21.6,35.6,690,0
320,251,454,224,410,21.5,35.7,679,0
322,214,450,218,432,21.6,35.6,676,0
323,246,451,228,432,21.5,35.7,701,0
323,244,444,206,429,21.5,35.8,647,0
337,249,464,232,430,21.5,35.7,556,0
316,251,454,265,434,21.5,35.7,714,0
321,236,451,224,431,21.6,35.7,710,0
314,243,449,230,416,21.5,35.9,685,0
326,230,432,222,428,21.5,35.7,705,0
313,241,450,252,430,21.5,35.7,692,0
322,205,456,233,425,21.5,35.7,737,0
317,257,444,236,432,21.5,35.9,657,0
318,245,452,231,427,21.6,35.8,619,0
321,246,452,262,434,21.4,35.7,577,0
288,228,452,214,436,21.5,35.6,673,0
313,251,450,231,435,21.5,35.7,692,0
313,242,453,217,416,21.6,35.7,652,0
313,238,444,224,428,21.5,35.7,639,0
316,240,448,269,433,21.5,35.7,631,0
283,243,429,225,419,21.4,35.7,734,0
317,243,448,231,429,21.5,35.8,740,0
310,239,458,233,437,21.5,35.7,621,0
318,217,448,210,427,21.5,35.7,673,0
322,251,450,229,426,21.5,35.9,681,0
327,250,436,234,402,21.5,35.7,619,0
314,234,448,220,428,21.5,35.7,664,0
330,251,453,231,426,21.5,35.9,739,0
298,242,433,235,436,21.5,35.7,741,0
323,242,448,232,432,21.5,35.8,663,0
314,242,449,250,431,21.5,35.7,610,0
321,241,453,235,429,21.5,35.6,674,0
320,246,452,211,441,21.5,35.7,633,0
314,241,442,253,428,21.5,35.7,708,0
319,240,452,229,421,21.5,35.7,739,0
318,241,447,230,444,21.5,35.7,733,0
308,241,439,243,428,21.5,35.7,714,0
320,259,452,266,432,21.6,35.6,673,0
319,237,448,228,394,21.4,35.7,612,0
322,236,452,220,440,21.6,35.6,663,0
320,248,472,234,435,21.5,35.7,625,0
320,216,450,219,430,21.5,35.7,665,0
321,243,448,238,431,21.5,35.7,587,0
320,240,456,233,430,21.5,35.7,735,0
321,242,470,215,427,21.4,35.8,728,0
314,256,450,237,434,21.6,35.6,906,0
340,239,457,232,402,21.6,35.8,591,0
320,248,462,234,431,21.5,35.7,743,0
312,240,451,223,420,21.5,35.7,655,0
307,241,442,228,432,21.5,35.8,721,0
308,248,461,232,434,21.5,35.7,673,0
318,230,450,231,427,21.4,35.7,642,0
316,237,458,214,434,21.5,35.7,691,0
320,243,447,262,430,21.5,35.6,648,0
318,244,454,232,422,21.5,35.7,705,0
318,238,454,227,432,21.6,35.6,735,0
294,239,436,232,421,21.5,35.7,686,0
322,242,448,266,435,21.4,35.7,577,0
310,235,452,257,434,21.5,35.7,640,0
320,236,446,251,428,21.6,35.6,645,0
320,241,448,253,436,21.5,35.7,713,0
324,242,445,233,426,21.4,35.6,702,0
322,241,476,215,431,21.4,35.6,696,0
321,241,452,256,426,21.6,35.6,645,0
314,237,451,240,426,21.4,35.7,687,0
322,249,451,279,434,21.5,35.7,675,0
322,242,448,230,428,21.4,35.7,608,0
322,222,448,233,430,21.5,35.7,662,0
320,247,452,234,446,21.5,35.9,743,0
312,244,452,201,424,21.5,35.7,641,0
289,243,435,232,444,21.5,35.7,704,0
321,240,479,228,440,21.5,35.7,685,0
322,250,446,232,431,21.5,35.7,623,0
321,250,452,266,434,21.5,35.8,685,0
323,245,444,230,426,21.5,35.7,647,0
320,249,466,216,428,21.5,35.9,733,0
320,239,480,235,431,21.5,35.8,609,0
316,240,484,229,427,21.6,35.7,716,0
320,251,454,233,422,21.6,35.7,709,0
320,240,448,224,427,21.5,35.9,683,0
314,238,448,231,528,21.5,35.8,700,0
320,241,452,226,434,21.5,35.7,713,0
316,248,452,231,426,21.5,35.8,651,0
321,272,451,236,421,21.5,35.9,811,0
303,248,438,235,434,21.5,35.8,659,0
318,242,482,241,434,21.5,35.8,741,0
316,240,450,278,433,21.5,35.9,580,0
329,241,479,231,431,21.5,35.9,610,0
316,241,452,211,446,21.5,35.8,669,0
319,241,451,230,418,21.5,35.8,662,0
320,243,448,232,429,21.5,35.8,747,0
325,249,441,235,436,21.5,35.9,704,0
325,243,460,249,431,21.5,35.8,727,0
325,250,452,272,438,21.5,35.9,636,0
342,240,450,216,437,21.5,35.9,611,0
320,251,485,217,428,21.5,35.9,663,0
293,242,434,238,429,21.5,36.1,699,0
321,245,450,226,429,21.4,35.8,694,0
316,241,480,232,435,21.5,36.1,719,0
321,241,448,273,432,21.4,35.9,653,0
315,243,452,233,428,21.5,35.8,767,0
316,262,442,226,409,21.5,35.4,650,0
322,256,458,232,429,21.6,35.7,672,0
320,248,440,238,427,21.5,35.9,643,0
296,240,436,234,428,21.4,35.7,608,0
314,240,444,230,436,21.6,35.3,659,0
317,239,452,233,423,21.5,35.9,694,0
320,247,455,233,429,21.5,35.8,711,0
322,273,480,234,435,21.4,35.7,705,0
321,253,451,233,432,21.5,35.8,716,0
320,228,456,222,430,21.5,35.8,687,0
320,249,452,256,432,21.5,35.8,674,0
318,242,445,236,432,21.5,35.7,683,0
321,241,486,236,426,21.5,35.6,721,0
320,241,454,228,438,21.4,35.9,709,0
320,249,440,220,434,21.5,35.6,662,0
320,242,454,229,434,21.4,35.7,739,0
311,240,451,235,430,21.5,35.8,689,0
317,244,442,238,430,21.5,35.8,659,0
284,243,437,236,433,21.5,35.7,707,0
299,240,442,236,432,21.5,35.9,625,0
321,249,456,236,431,21.4,35.7,678,0
320,238,458,227,434,21.5,35.7,821,0
323,274,493,237,431,21.6,35.6,687,0
314,234,464,234,435,21.5,35.6,705,0
309,247,442,247,435,21.5,35.7,667,0
310,250,456,240,429,21.4,35.9,720,0
320,241,460,242,430,21.4,35.7,761,0
320,249,462,288,436,21.4,35.7,683,0
316,248,451,242,433,21.5,35.7,663,0
321,234,460,230,431,21.5,35.7,673,0
320,240,460,242,421,21.5,35.4,696,0
320,237,482,242,490,21.5,35.8,659,0
319,241,458,241,418,21.4,35.8,710,0
327,245,450,244,432,21.5,35.7,753,0
316,250,460,242,431,21.5,35.8,686,0
322,248,463,280,434,21.5,35.7,703,0
317,237,458,230,427,21.4,35.8,702,0
320,244,464,240,434,21.5,35.7,742,0
321,245,461,243,432,21.5,35.8,761,0
324,246,465,244,422,21.5,35.8,695,0
317,236,458,229,426,21.4,35.8,720,0
320,233,448,233,431,21.5,35.8,701,0
320,251,465,240,424,21.5,35.9,732,0
315,242,458,233,423,21.5,35.9,645,0
315,239,460,244,418,21.5,35.8,761,0
306,226,445,232,427,21.4,35.8,781,0
320,249,460,257,432,21.6,35.6,689,0
322,252,460,280,441,21.5,35.8,661,0
336,252,452,244,434,21.5,35.9,753,0
318,241,457,226,432,21.6,35.8,733,0
356,245,439,244,434,21.5,35.9,663,0
324,224,450,224,429,21.6,35.7,646,0
329,248,454,242,441,21.5,35.8,712,0
322,243,469,245,429,21.4,35.9,636,0
321,240,477,240,427,21.5,36.1,761,0
293,241,442,244,418,21.6,35.7,685,0
319,244,457,235,427,21.4,35.8,652,0
320,250,463,231,431,21.5,36.1,654,0
314,241,454,240,417,21.5,35.9,647,0
322,250,498,246,431,21.5,36.1,627,0
307,246,464,248,420,21.6,35.8,769,0
317,250,454,241,435,21.4,36.1,644,0
317,251,462,252,436,21.5,36,660,0
314,249,463,239,426,21.5,35.9,755,0
317,239,459,244,422,21.5,35.9,681,0
320,232,460,234,431,21.6,35.8,738,0
316,240,460,234,437,21.5,36.1,668,0
322,240,460,238,436,21.5,35.9,749,0
322,233,456,236,432,21.5,35.9,663,0
322,248,506,246,433,21.5,36.1,603,0
322,241,459,241,428,21.5,35.9,711,0
316,240,459,236,436,21.6,35.8,723,0
321,250,464,244,432,21.5,35.9,697,0
313,242,460,258,418,21.5,36.1,694,0
314,302,456,260,429,21.5,35.8,640,0
322,256,468,246,435,21.5,35.8,699,0
320,238,463,225,433,21.5,35.7,681,0
322,247,457,264,431,21.5,35.4,719,0
323,240,459,241,432,21.5,35.9,707,0
317,238,465,240,431,21.5,35.9,769,0
315,240,474,237,386,21.4,35.7,797,0
321,237,458,237,428,21.5,35.7,716,0
311,249,460,240,436,21.5,35.8,648,0
306,241,477,246,437,21.5,35.8,689,0
324,244,460,243,433,21.5,35.4,675,0
320,257,468,242,448,21.5,35.7,745,0
319,243,472,236,433,21.5,35.7,653,0
325,244,468,242,428,21.5,35.8,644,0
300,236,464,238,429,21.5,35.8,706,0
318,243,462,229,434,21.6,35.7,740,0
322,242,462,233,432,21.5,35.8,669,0
323,244,496,239,417,21.5,35.7,685,0
316,228,458,243,430,21.5,35.7,666,0
320,249,468,242,418,21.5,35.8,708,0
320,240,458,134,434,21.6,35.8,723,0
312,237,454,241,415,21.5,35.9,727,0
324,245,466,246,431,21.4,35.6,676,0
288,242,474,242,428,21.4,35.6,666,0
316,232,461,239,429,21.6,35.6,779,0
316,256,457,239,428,21.5,35.4,597,0
320,242,478,243,427,21.5,35.4,696,0
308,244,452,245,435,21.5,35.8,727,0
322,254,465,231,434,21.5,35.7,689,0
317,248,467,238,432,21.4,35.7,665,0
316,241,458,238,434,21.5,35.7,691,0
321,248,464,230,435,21.5,35.7,561,0
304,240,450,241,428,21.5,35.9,819,0
323,238,462,238,437,21.5,35.7,665,0
324,257,465,253,430,21.5,35.7,669,0
328,249,464,239,439,21.5,35.7,717,0
318,241,496,244,432,21.5,35.8,693,0
317,235,460,232,428,21.6,35.6,731,0
296,253,443,240,428,21.5,35.7,730,0
318,243,446,242,430,21.6,35.6,737,0
312,240,460,236,432,21.5,35.8,709,0
318,240,441,245,428,21.5,35.7,837,0
310,241,451,238,433,21.5,35.7,1307,0
314,240,462,242,429,21.6,35.7,719,0
320,247,449,241,430,21.5,35.8,699,0
322,238,461,239,434,21.5,35.9,712,0
323,248,465,245,426,21.5,35.9,715,0
321,241,454,272,434,21.5,35.8,662,0
321,230,462,244,430,21.5,35.8,583,0
321,248,463,256,442,21.5,35.8,685,0
318,317,460,226,419,21.5,35.8,841,0
318,242,452,242,429,21.5,35.8,716,0
318,241,460,243,418,21.5,35.8,695,0
318,236,452,241,432,21.5,35.9,743,0
320,248,448,247,432,21.4,35.9,697,0
322,233,458,236,432,21.5,36,684,0
320,242,463,220,428,21.5,36,623,0
324,242,457,234,434,21.5,36.1,687,0
321,236,457,238,413,21.5,35.8,695,0
326,234,468,230,436,21.5,35.9,747,0
314,226,460,213,413,21.5,35.9,701,0
320,213,462,236,435,21.5,35.9,653,0
322,237,458,293,438,21.5,35.9,623,0
275,243,448,244,431,21.5,35.9,701,0
317,240,460,239,433,21.5,35.9,703,0
320,214,461,230,433,21.5,35.8,657,0
303,247,448,241,431,21.5,35.9,717,0
322,247,461,263,423,21.5,35.8,665,0
321,231,458,231,433,21.5,35.9,739,0
304,256,446,244,437,21.6,35.7,665,0
314,218,457,231,428,21.4,35.9,717,0
325,246,459,248,434,21.5,35.8,649,0
320,240,459,241,431,21.6,35.7,750,0
320,219,460,229,433,21.5,35.8,617,0
323,241,521,241,425,21.5,35.8,676,0
321,248,454,244,434,21.5,35.9,691,0
322,236,460,218,430,21.6,35.7,750,0
320,242,489,237,431,21.5,35.8,671,0
320,242,466,236,431,21.6,35.8,693,0
322,247,464,227,434,21.5,35.8,659,0
318,250,463,265,434,21.5,35.7,598,0
316,212,460,228,433,21.5,35.7,693,0
316,253,458,279,429,21.5,35.8,663,0
316,247,460,235,432,21.5,35.8,699,0
321,243,453,243,428,21.5,35.4,699,0
318,244,461,244,430,21.5,35.9,735,0
306,249,453,245,431,21.5,35.7,643,0
318,227,466,241,417,21.5,35.9,611,0
355,216,444,250,426,21.5,35.4,814,0
320,228,462,230,414,21.5,35.6,673,0
320,247,458,244,432,21.5,35.7,707,0
320,223,494,245,431,21.5,35.8,705,0
320,242,462,272,430,21.5,35.9,646,0
330,247,466,242,430,21.5,35.7,802,0
322,220,462,231,426,21.5,35.9,721,0
321,248,452,239,425,21.6,35.5,662,0
312,249,450,244,432,21.5,35.9,731,0
318,241,490,234,436,21.5,35.4,638,0
320,241,460,242,425,21.6,35.6,668,0
313,245,464,242,427,21.5,35.6,701,0
323,236,460,238,423,21.5,35.7,696,0
314,233,456,244,428,21.5,35.7,716,0
318,237,463,238,419,21.6,35.6,704,0
321,248,465,229,431,21.5,35.9,693,0
317,247,464,239,433,21.5,35.7,815,0
317,240,482,239,438,21.5,35.9,704,0
315,235,461,221,430,21.5,35.7,691,0
317,241,513,241,427,21.5,35.7,609,0
314,244,452,246,434,21.5,35.6,701,0
320,248,464,234,428,21.5,35.7,729,0
320,236,462,236,427,21.5,35.7,771,0
316,237,456,245,430,21.5,35.7,684,0
325,246,462,240,433,21.6,35.6,763,0
323,238,489,242,430,21.5,35.7,683,0
317,249,464,242,421,21.5,35.7,713,0
323,247,474,247,428,21.5,35.9,727,0
324,238,461,238,430,21.5,35.7,742,0
321,235,458,241,427,21.5,35.7,659,0
321,248,482,243,430,21.5,35.7,747,0
315,249,491,243,430,21.5,35.7,690,0
321,206,462,192,428,21.6,35.6,747,0
321,245,457,286,429,21.5,35.9,660,0
320,242,459,233,436,21.5,35.7,689,0
321,250,461,241,435,21.5,35.8,689,0
313,240,461,237,427,21.5,35.8,685,0
320,243,462,242,420,21.5,35.8,670,0
305,249,457,246,434,21.6,35.6,741,0
322,247,460,248,432,21.5,35.7,671,0
314,249,467,226,438,21.6,35.6,747,0
321,236,457,240,432,21.5,35.9,687,0
320,246,460,239,445,21.6,35.7,587,0
322,249,462,244,416,21.5,35.8,779,0
320,251,462,227,432,21.6,35.7,678,0
316,243,438,242,429,21.6,35.5,749,0
320,250,461,227,433,21.6,35.8,603,0
325,254,472,252,440,21.6,35.8,732,0
319,243,464,280,437,21.6,35.5,625,0
320,241,478,242,426,21.6,35.7,755,0
317,205,456,227,429,21.5,35.7,693,0
318,238,503,242,424,21.5,35.7,652,0
320,247,456,244,429,21.5,35.7,672,0
317,243,457,240,422,21.5,35.6,737,0
322,240,459,226,429,21.6,35.5,669,0
309,239,455,242,427,21.6,35.6,800,0
315,242,449,230,434,21.6,35.8,743,0
326,239,458,243,421,21.6,35.6,667,0
324,233,455,237,422,21.5,35.7,767,0
312,235,458,240,432,21.6,35.8,779,0
318,239,457,239,428,21.6,35.6,702,0
319,235,454,244,428,21.6,35.6,657,0
318,226,457,231,439,21.6,35.8,891,0
317,220,456,221,428,21.6,35.6,709,0
319,240,460,238,446,21.6,35.6,755,0
313,244,456,242,431,21.6,35.5,613,0
318,239,464,230,430,21.6,35.6,751,0
314,246,462,235,428,21.6,35.6,710,0
325,233,464,236,433,21.6,35.6,721,0
314,240,458,246,437,21.6,35.8,765,0
318,245,464,244,405,21.6,35.7,657,0
316,248,459,244,428,21.6,35.6,731,0
315,224,465,228,430,21.5,35.7,764,0
327,244,462,240,420,21.5,35.7,717,0
322,235,460,212,436,21.5,35.7,666,0
317,245,460,242,423,21.5,35.8,666,0
309,252,458,272,429,21.5,35.6,683,0
318,238,458,241,430,21.6,35.8,695,0
319,240,459,278,428,21.5,35.6,695,0
320,235,456,237,434,21.5,35.8,692,0
314,253,454,242,432,21.5,35.7,757,0
320,236,457,239,417,21.6,35.6,771,0
317,240,462,242,428,21.5,35.6,679,0
310,237,460,238,418,21.6,35.5,688,0
323,246,491,245,431,21.5,35.7,683,0
324,244,466,240,422,21.5,35.6,699,0
320,242,466,240,423,21.6,35.6,750,0
321,248,474,239,433,21.5,35.7,682,0
316,236,448,241,436,21.5,35.9,649,0
313,240,457,245,418,21.6,35.8,636,0
320,238,445,242,426,21.6,35.5,603,0
324,237,474,242,428,21.4,35.7,609,0
320,237,458,237,425,21.6,35.5,619,0
315,240,456,275,426,21.5,35.6,657,0
320,245,464,286,431,21.5,35.6,691,0
317,221,459,234,428,21.4,35.7,668,0
314,234,462,238,436,21.5,35.9,660,0
323,247,506,242,434,21.5,35.7,717,0
318,237,475,244,428,21.6,35.6,696,0
329,246,467,244,427,21.6,35.6,623,0
318,250,508,244,425,21.6,35.5,675,0
322,243,465,245,420,21.5,35.7,691,0
272,248,451,243,434,21.5,35.6,769,0
317,237,460,241,418,21.6,35.6,672,0
322,244,470,248,427,21.5,35.7,595,0
320,239,456,250,432,21.5,35.9,675,0
323,237,459,210,430,21.5,35.7,731,0
321,234,459,276,423,21.5,35.7,727,0
320,237,456,234,413,21.5,35.7,693,0
326,241,454,230,401,21.5,35.7,707,0
315,238,482,244,435,21.5,35.7,722,0
416,240,440,239,434,21.5,35.7,706,0
306,249,454,241,426,21.5,35.6,656,0
317,243,458,280,436,21.5,35.7,679,0
320,240,488,253,433,21.5,35.9,667,0
317,241,452,241,438,21.5,35.7,693,0
320,238,507,245,428,21.5,35.8,681,0
324,248,460,239,426,21.6,35.8,719,0
317,249,454,244,432,21.6,35.6,707,0
320,232,463,226,431,21.6,35.6,635,0
322,237,458,238,423,21.5,35.7,640,0
322,238,460,237,420,21.5,35.9,675,0
314,239,454,241,429,21.6,35.6,614,0
317,241,435,238,430,21.5,35.7,683,0
319,239,459,236,434,21.5,35.7,663,0
320,247,477,244,430,21.5,35.7,679,0
314,234,456,253,431,21.5,35.7,683,0
321,238,458,244,427,21.5,35.9,649,0
320,238,441,242,428,21.5,35.9,721,0
315,240,456,242,427,21.5,35.7,645,0
320,235,460,234,426,21.5,35.9,674,0
320,239,458,209,432,21.5,35.7,743,0
325,245,452,246,431,21.5,35.7,773,0
318,236,472,242,428,21.5,35.7,733,0
320,243,456,236,436,21.4,35.7,699,0
316,239,453,282,435,21.5,35.7,685,0
315,238,454,231,439,21.4,35.7,613,0
320,238,458,238,414,21.5,35.7,695,0
319,230,468,245,436,21.5,35.6,649,0
314,240,457,272,429,21.5,35.7,643,0
320,240,441,248,428,21.4,35.6,780,0
313,245,484,241,422,21.6,35.6,677,0
318,248,456,237,430,21.5,35.6,634,0
315,229,460,231,428,21.6,35.6,729,0
314,220,462,224,430,21.5,35.7,730,0
318,240,462,228,428,21.5,35.9,679,0
316,231,462,240,431,21.5,35.7,783,0
320,238,463,231,429,21.5,35.7,723,0
311,238,458,242,436,21.5,35.7,698,0
298,236,450,241,430,21.4,35.7,755,0
313,239,448,242,424,21.5,35.4,722,0
319,219,454,242,436,21.5,35.7,663,0
322,248,463,242,430,21.5,35.6,703,0
318,234,460,253,434,21.5,35.6,637,0
314,203,461,228,434,21.5,35.9,723,0
320,233,462,229,428,21.5,35.7,703,0
328,243,471,240,430,21.5,35.6,717,0
318,236,452,253,438,21.5,35.7,697,0
315,242,464,239,430,21.5,35.6,673,0
320,224,471,239,437,21.5,35.6,683,0
317,238,460,244,430,21.5,35.7,659,0
320,240,458,286,435,21.4,35.7,689,0
306,238,448,227,429,21.5,35.9,652,0
321,242,460,253,426,21.5,35.6,726,0
320,248,465,256,432,21.5,35.6,647,0
311,221,458,243,428,21.5,35.4,642,0
324,247,464,237,433,21.5,35.8,1343,0
320,236,462,234,409,21.5,35.7,748,0
314,240,452,237,438,21.5,35.6,702,0
320,236,492,242,427,21.5,35.6,687,0
321,246,489,243,433,21.4,35.9,773,0
316,243,464,245,431,21.4,35.7,693,0
318,246,468,241,420,21.6,35.6,743,0
317,239,493,237,425,21.5,35.7,749,0
308,251,452,244,428,21.5,35.7,609,0
317,237,460,244,423,21.6,35.6,603,0
313,230,464,230,434,21.5,35.7,741,0
323,240,440,234,430,21.5,35.9,691,0
322,250,460,240,433,21.5,35.7,687,0
316,239,478,246,432,21.5,35.9,669,0
298,247,437,241,426,21.4,35.6,712,0
322,240,456,241,412,21.5,35.6,695,0
310,248,450,242,437,21.6,35.6,677,0
318,234,453,270,431,21.5,35.8,601,0
303,247,445,243,382,21.5,35.8,618,0
305,246,452,244,430,21.4,35.9,655,0
316,228,456,234,431,21.5,35.7,744,0
314,240,457,213,419,21.5,35.7,714,0
322,240,466,239,431,21.5,35.7,695,0
318,236,456,234,436,21.6,35.6,809,0
317,244,457,242,430,21.5,35.8,671,0
310,238,448,230,427,21.5,35.9,790,0
317,240,452,240,427,21.5,35.8,628,0
301,239,446,237,428,21.5,35.7,701,0
323,249,460,282,438,21.5,35.6,596,0
320,235,454,213,431,21.5,35.7,608,0
318,236,485,244,429,21.5,35.6,695,0
320,240,456,302,436,21.4,35.7,681,0
